ID,Title,Description,Compliance Frameworks,Notes,
[[ G.Policy ]],Policy,Foundational governance documents that establish organizational security standards and requirements,,,Parameters
G.Policy.AcceptableUse,Acceptable Use Policy,"Define acceptable use of technology resources including computers, networks, mobile devices, and cloud services. Specify prohibited activities, data handling requirements, and consequences for violations.",PCI-DSS,"technology, hardware, software
",
G.Policy.Auth,Authentication and Password Policy,"Establish authentication and password requirements across all systems. Define multi-factor authentication requirements, password complexity, and account management procedures.",,,
G.Policy.DataRetentionAndDisposal,Data Retention and Disposal Policy,Define how long different types of data must be retained and secure disposal procedures. Address regulatory requirements and business needs for data lifecycle management.,,,
G.Policy.EncryptionAndKeyManagement,Encryption and Key Management Policy,"Establish encryption requirements for data at rest and in transit. Define key management procedures, approved algorithms, and implementation standards.",PCI-DSS,,
G.Policy.MediaDestruction,Media Destruction Policy,Define secure destruction procedures for physical and digital media containing sensitive information. Specify methods based on data sensitivity and media type.,,,
G.Policy.Security,Security Policy,"Comprehensive security policy establishing the organization's security program, roles, responsibilities, and overall security strategy. Serves as the foundation for all other security policies.",PCI-DSS,"- CISO or other exec, explicitely accountable for security
- updates within year if risk environment changes
- Roles and responsibilities (PCI)
- Locations
- System components
- Segmentation controls
- Connection to 3rd parties
- Security strategy, including:
  - how technology support compliance with PCI DSS
  - remediations to outdate tech
- RACI matrix included in policy",
[[ G.Oversight ]],"Reviews of policies, ...",Ongoing supervision and evaluation activities to ensure governance effectiveness and compliance,,,Parameters
G.Oversight.Access,Access and Permission Review,Regular reviews of user access rights and permissions to ensure appropriate access levels. Verify that access aligns with job responsibilities and follows least privilege principles.,PCI-DSS,with right approvals,frequency [PCI 6 months for user access]
G.Oversight.Awareness,Maintain an Up-to-date Security Awareness Program,Regular evaluation and updates to security awareness training programs to ensure effectiveness and relevance to current threats.,PCI-DSS,,frequency [PCI yearly]
G.Oversight.Encryption,Maintain Up-to-date Cryptographic Cipher Suites and Protocols,"Periodic review of cryptographic implementations, cipher suites, and protocols to ensure they meet current security standards and haven't been deprecated.",PCI-DSS,,frequency [PCI yearly]
G.Oversight.Endpoint,Review Inventory of endpoint devices,Regular assessment of endpoint security controls including devices not traditionally covered by antimalware solutions such as network devices and IoT systems.,PCI-DSS,,frequency [PCI <= yearly]
G.Oversight.Facility,Review Facilities,Periodic security assessment of physical facilities and processes to ensure adequate physical security controls are maintained.,PCI-DSS,,frequency [PCI yearly]
G.Oversight.IncidentResponsePlan,Review Incident Response Plan,Regular testing and updating of incident response procedures based on lessons learned from actual incidents and changing threat landscape.,PCI-DSS,,frequency [PCI yearly]
G.Oversight.NetworkSecurityControls,Review Network Security Controls,"Regular review of network security configurations and controls, typically integrated with Infrastructure as Code (IaC) review processes.",,,frequency [PCI 6 months]
G.Oversight.PhysicalMedia,Review inventory of physical media,"Periodic inventory and security assessment of physical media containing sensitive information including backup tapes, external drives, and archived materials.",PCI-DSS,,frequency [PCI yearly]
G.Oversight.Policies,Maintain Up-to-date Policies,"Regular review of all security policies to ensure they remain current, effective, and aligned with business objectives and regulatory requirements.",PCI-DSS,,frequency [PCI yearly]
G.Oversight.ThirdParties,Monitor and asses Third-Party Suppliers,Ongoing assessment of third-party security practices and compliance with contractual security requirements.,,,frequency [PCI yearly]
G.Oversight.TRA,Perform Targeted Risk Analysis,"Regular targeted risk assessments focusing on specific business processes, technologies, or threat scenarios with senior leadership approval and oversight.",,- Approved by senior leadership,frequency [PCI yearly]
[[ G.ScopeDefinition ]],Items that define the scope of the security programme,Documentation that establishes the boundaries and coverage of the security program,,,Parameters
G.ScopeDefinition.Awareness,Document Approach to Awareness Training,"Define the scope and content of security awareness training including topics, audiences, delivery methods, and compliance tracking.",PCI-DSS,"- Covering:
  - Security DOs and DON'Ts
    - Using strong authentication factors
    - Protecting authentication factors
    - Not to reuse previously used factors
    - Change factors if there is suspicion there maybe be a compromise
    - Report incident if compromise is suspected
  - Phishing
  - Social engineering
  - Acceptable use
  - POS device management [if in-scope]",
G.ScopeDefinition.CryptographicArchitecture,Document Cryptographic Architecture,"Document the organization's cryptographic architecture including algorithms, key management systems, certificate authorities, and encryption implementations.",PCI-DSS,,
G.ScopeDefinition.DataFlows,Document Data Flows for the Systems in Scope,Map and document how sensitive data flows through systems and processes to identify security requirements and control points.,PCI-DSS,,
G.ScopeDefinition.Locations,"Document where the Data is Stored, Processed and Transmitted","Define all locations where sensitive data is stored, processed, or transmitted including cloud services, remote facilities, and third-party locations.",,,
G.ScopeDefinition.Network,Document Network diagram for the Systems in Scope,"Comprehensive documentation of network architecture including security zones, trust boundaries, and data flow patterns.",PCI-DSS,,
G.ScopeDefinition.Organisation,Document Organizational Structure,"Define organizational structure for security including roles, responsibilities, reporting relationships, and decision-making authority.",,,
G.ScopeDefinition.RACI,"Document RACI matrix, clarifying roles and responsibilities","Create and maintain RACI (Responsible, Accountable, Consulted, Informed) matrices for security processes and decisions to clarify roles and avoid confusion.",PCI-DSS,,
G.ScopeDefinition.SelfDeveloped,Document Own Services and Products,"Document all internally developed applications, services, and products including security requirements and development practices.",,,
G.ScopeDefinition.ThirdParties,Document Third-Party suppliers,"Comprehensive inventory of all third-party relationships including vendors, partners, and service providers with access to organizational systems or data.",,,
G.ScopeDefinition.TRA,Document Approach to Targeted Risk Analysis,"Define the scope and methodology for targeted risk assessments including criteria for assessment triggers, approval processes, and reporting requirements.",,"- Approved by senior leadership
- Including:
  - frequency of reviews for endpoints not under anti-malware protection
  - frequency malware scans in endpoints
  - access and role reviews for system accounts
  - password/passphrase change frequency
  - POS device inspections
  - frequency log reviews (if not mandated by PCI)
  - SLAs to fix non-high and non-critical vulnerabilities
  - Change and tamper detection mechanism frequency [<= weekly]
  - frequency of periodic training for incident response",
[[ G.Protocol ]],Policies,Detailed operational procedures and methodologies for implementing security practices,,,Parameters
G.Protocol.IncidentResponsePlan,Incident Response Plan,"Comprehensive incident response procedures including detection, analysis, containment, eradication, recovery, and lessons learned processes.",PCI-DSS,"- actions are taken for disruptions in security controls
- Roles and responsibilities
- Contacts and communication strategies
- Notification to payment brands and acquirers, if needed
- Business recovery and continuity process, including backups
- Legal requirements for reporting compromises or breaches  
- PCI: PAN or SAD found where it shouldn't be",
G.Protocol.PENTestingMethodology,PEN Testing Methodology,"Standardized methodology for conducting penetration testing including scope definition, testing procedures, reporting formats, and remediation tracking.",PCI-DSS,,
G.Protocol.SecureDevelopment,Secure Development,"Comprehensive secure software development lifecycle (SDLC) procedures including security requirements, testing, and deployment practices.",,,
